task,model,duplicates,metric,mean,sem
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,16,exact_match,0.04716981132075472,0.020689270331840894
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,256,perplexity,-1.3381834938658674,0.08050971386899428
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,256,acc,0.0,0.0
ellie,allegrolab__hubble-8b-500b_toks-standard-hf,256,exact_match,0.0,0.0
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,acc,0.45775,0.007878404133320518
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,acc_norm,0.608,0.0077200323655365055
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,acc_mutual_info,0.49675,0.007906515517084978
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,acc,0.5017494751574527,0.013231322106635733
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,acc_norm,0.6284114765570329,0.012787601572754095
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,acc_mutual_info,0.5409377186843947,0.013186979593696347
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,acc,0.5017494751574527,0.013231322106635716
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,acc_norm,0.7011896431070679,0.012112992986630235
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,acc_mutual_info,0.6682995101469559,0.012459325276014732
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,acc,0.7282913165266106,0.016659407831092748
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,acc_norm,0.8935574229691877,0.011549791885695512
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,acc_mutual_info,0.9089635854341737,0.010772984872814093
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,acc,1.0,0.0
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,acc_norm,1.0,0.0
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,acc_mutual_info,1.0,0.0
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,acc,1.0,0.0
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,acc_norm,1.0,0.0
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,acc_mutual_info,1.0,0.0
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,acc,0.463,0.007885004332486496
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,acc_norm,0.611,0.0077093844535191655
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,acc_mutual_info,0.4875,0.007904211323032796
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,acc,0.47515745276417076,0.013215061431269928
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,acc_norm,0.5843247025892232,0.013041877832744362
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,acc_mutual_info,0.4464660601819454,0.013155345200496535
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,acc,0.42547235829251223,0.013083593298498106
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,acc_norm,0.5969209237228832,0.012980440320484414
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,acc_mutual_info,0.4646606018194542,0.013198313037740196
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,acc,0.4565826330532213,0.018654417231702265
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,acc_norm,0.5812324929971989,0.01847637064479956
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,acc_mutual_info,0.46218487394957986,0.018671517044049055
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,acc,0.46853146853146854,0.02955872724316524
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,acc_norm,0.6048951048951049,0.02895834982268136
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,acc_mutual_info,0.493006993006993,0.029614547033107307
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,acc,0.44755244755244755,0.041727591966030465
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,acc_norm,0.5734265734265734,0.04150416051729388
hellaswag,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,acc_mutual_info,0.4755244755244755,0.04190876649540684
hellaswag,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,acc,0.433,0.007835374801154609
hellaswag,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,acc_norm,0.57175,0.00782485088981649
hellaswag,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,acc_mutual_info,0.5005,0.007906678594175804
hellaswag,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,acc,0.4667599720083975,0.013202131982863217
hellaswag,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,acc_norm,0.5780265920223933,0.013069300604985765
hellaswag,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,acc_mutual_info,0.5136459062281316,0.0132264745235296
