task,model,duplicates,checkpoint,metric,mean,sem
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,12000,norm_ll_byte,-0.8411761553623686,0.00806194737010322
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,14000,norm_ll_word,-4.878969774175533,0.06281721613193787
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,14000,norm_ll_byte,-0.8408501015012729,0.0081255860450692
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,16000,norm_ll_word,-4.8696796694621085,0.06254643925707601
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,16000,norm_ll_byte,-0.8394400591595275,0.008164201976187847
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,18000,norm_ll_word,-4.854279466108488,0.06182111181022232
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,18000,norm_ll_byte,-0.8367665885510301,0.008031678039605417
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,20000,norm_ll_word,-4.834149762957586,0.06181513610947032
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,20000,norm_ll_byte,-0.8333348662740339,0.00806281760570806
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,22000,norm_ll_word,-4.815418520788793,0.061186619116880225
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,22000,norm_ll_byte,-0.8301494818965908,0.007967245509983397
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,24000,norm_ll_word,-4.7744811433313465,0.060572687899982346
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,24000,norm_ll_byte,-0.8231079371847677,0.007905023499853753
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,26000,norm_ll_word,-4.76337901830134,0.06057191838345878
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,26000,norm_ll_byte,-0.8211965688019939,0.007916977125347812
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,28000,norm_ll_word,-4.751192568317777,0.060621269080828155
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,28000,norm_ll_byte,-0.8191174764895999,0.007941428641132316
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,30000,norm_ll_word,-4.723727591403512,0.05985331098734402
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,30000,norm_ll_byte,-0.8145081434450862,0.007864251052442145
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,32000,norm_ll_word,-4.718114948963429,0.060256419481913764
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,32000,norm_ll_byte,-0.8134761669174714,0.007929135766476058
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,34000,norm_ll_word,-4.687506117419759,0.05927420198970103
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,34000,norm_ll_byte,-0.8082613083518378,0.007769367130280857
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,36000,norm_ll_word,-4.681625067494315,0.05897398412520464
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,36000,norm_ll_byte,-0.8073333517069315,0.007759590714653171
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,38000,norm_ll_word,-4.672381574354731,0.05883917960970703
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,38000,norm_ll_byte,-0.8057531055855063,0.007739425560103279
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,40000,norm_ll_word,-4.6600940992918005,0.05844720078794545
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,40000,norm_ll_byte,-0.8037343004021696,0.007716279551266091
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,42000,norm_ll_word,-4.6479294199786345,0.05834229570574876
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,42000,norm_ll_byte,-0.8016682367284773,0.007715427204921729
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,44000,norm_ll_word,-4.646640313756831,0.0583975020570865
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,44000,norm_ll_byte,-0.8013989674292403,0.007706987201823065
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,46000,norm_ll_word,-4.6313391770780035,0.0579964504857641
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,46000,norm_ll_byte,-0.7988455293788366,0.007683531587040475
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,48000,norm_ll_word,-4.632015112320808,0.05819109378487851
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,48000,norm_ll_byte,-0.7989122640564871,0.007696159909156695
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,0,norm_ll_word,-17.263687835703937,0.24490532467609488
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,0,norm_ll_byte,-2.9572947359360167,0.02728794417911561
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,2000,norm_ll_word,-5.959655628883734,0.10706697844945882
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,2000,norm_ll_byte,-1.0187216955714007,0.013827233625233847
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,4000,norm_ll_word,-5.198343097929742,0.09427552960733455
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,4000,norm_ll_byte,-0.8894173068706042,0.012763974419596022
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,6000,norm_ll_word,-4.872739504076891,0.08771002463194938
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,6000,norm_ll_byte,-0.8339242365914826,0.011957645270418196
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,8000,norm_ll_word,-4.633597547045725,0.08263451414147523
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,8000,norm_ll_byte,-0.7934040948822486,0.011475849947122058
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,10000,norm_ll_word,-4.4676249739162825,0.07942427430928968
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,10000,norm_ll_byte,-0.7651423003700678,0.011169304215302756
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,12000,norm_ll_word,-4.384247197083793,0.07826749743668461
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,12000,norm_ll_byte,-0.7508444682826543,0.01087420803799522
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,14000,norm_ll_word,-4.700098718415746,0.080662027030951
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,14000,norm_ll_byte,-0.8045645972564742,0.010867175504282156
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,16000,norm_ll_word,-4.762047095812226,0.08159951740132669
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,16000,norm_ll_byte,-0.8151411013337183,0.010961005237352009
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,18000,norm_ll_word,-4.784969794339859,0.08262051219180319
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,18000,norm_ll_byte,-0.8189755295160185,0.01112252141915669
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,20000,norm_ll_word,-4.793814525507665,0.08316759361635334
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,20000,norm_ll_byte,-0.8204954506226341,0.01121424102124495
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,22000,norm_ll_word,-4.7828511496766035,0.0833440659766382
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,22000,norm_ll_byte,-0.818492782116651,0.011205097047444492
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,24000,norm_ll_word,-4.761502419575029,0.08236789810438733
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,24000,norm_ll_byte,-0.8148806418040201,0.011097300133424042
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,26000,norm_ll_word,-4.759173203997579,0.0822088951761865
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,26000,norm_ll_byte,-0.8145321185802126,0.011070913675617994
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,28000,norm_ll_word,-4.754719071256982,0.08249732725584344
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,28000,norm_ll_byte,-0.8137582766057528,0.011127236844154436
gutenberg_popular,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,30000,norm_ll_word,-4.726651262987389,0.08150446104991875
