task,model,duplicates,field_type,metric,mean,sem
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,birthplace,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,birthplace,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,email,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,email,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,nationality,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,nationality,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,occupation,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,occupation,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,university,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,university,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,uuid,acc,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,uuid,acc_norm,1.0,0.0
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,birthdate,acc,0.0076,0.0017372689029901286
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,birthdate,acc_norm,0.0556,0.004583869625578122
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,birthplace,acc,0.4604,0.009970581778431986
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,birthplace,acc_norm,0.426,0.009891852177211216
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,email,acc,0.0636,0.004881756714487913
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,email,acc_norm,0.0672,0.00500836275433316
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,nationality,acc,0.9524,0.004259219691557643
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,nationality,acc_norm,0.6892,0.00925827361078193
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,occupation,acc,0.1692,0.007500069627527944
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,occupation,acc_norm,0.1672,0.007464579826138398
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,university,acc,0.2664,0.008843285445974909
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,university,acc_norm,0.1884,0.007822189633361239
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,uuid,acc,0.0344,0.003645815791988899
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,uuid,acc_norm,0.0344,0.003645815791988899
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,birthdate,acc,0.013437849944008958,0.0038551802742786898
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,birthdate,acc_norm,0.05039193729003359,0.007324370367817791
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,birthplace,acc,0.43001119820828665,0.016576415239101118
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,birthplace,acc_norm,0.4132138857782755,0.01648712537450598
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,email,acc,0.06494960806270997,0.008251318448474048
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,email,acc_norm,0.06606942889137737,0.008317161701195858
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,nationality,acc,0.948488241881299,0.0074009374704798216
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,nationality,acc_norm,0.6629339305711086,0.01582742320825737
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,occupation,acc,0.16573348264277715,0.012450165025554284
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,occupation,acc_norm,0.17245240761478164,0.01264878158946681
