task,model,duplicates,metric,mean,sem
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,1,norm_ll_byte,-0.6293687022596391,0.0033117273720050153
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,4,norm_ll_word,-3.9912997658239155,0.022981092267746438
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,4,norm_ll_byte,-0.6310974563110547,0.0034392671774895614
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,16,norm_ll_word,-3.8819814834966033,0.03231285208565975
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,16,norm_ll_byte,-0.614560275818124,0.005031629502808615
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,64,norm_ll_word,-3.7356803785970274,0.04195177986026006
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,64,norm_ll_byte,-0.5926962207160136,0.0065017019660458435
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,256,norm_ll_word,-3.667099552176667,0.06349348244231076
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,256,norm_ll_byte,-0.5802773862476015,0.009040239635288425
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,0,norm_ll_word,-4.098001987774603,0.0248126573617431
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,0,norm_ll_byte,-0.6455404797735607,0.003783123450460201
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,1,norm_ll_word,-3.8886580884686737,0.025965889225158124
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,1,norm_ll_byte,-0.6131205360795023,0.003792937661048575
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,4,norm_ll_word,-3.7176245573130355,0.025391944840741906
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,4,norm_ll_byte,-0.587806666422729,0.0038723537603613475
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,16,norm_ll_word,-3.0975924892276803,0.03831139071849997
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,16,norm_ll_byte,-0.48973269964314503,0.00593944712510642
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,64,norm_ll_word,-0.623170482138465,0.037617151031996164
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,64,norm_ll_byte,-0.0987943510627436,0.006030452246691132
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,256,norm_ll_word,-0.15465930724406896,0.0022623538372907345
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,256,norm_ll_byte,-0.024521000865013725,0.0003593251682661715
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,0,norm_ll_word,-4.030546692946929,0.023026361968639015
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,0,norm_ll_byte,-0.6347881884988625,0.00346115437047343
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,1,norm_ll_word,-3.912760259475581,0.02331476183200914
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,1,norm_ll_byte,-0.6169291552335483,0.0033287293353663366
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,4,norm_ll_word,-3.8629225500354996,0.022783723215910722
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,4,norm_ll_byte,-0.6107430111384625,0.003411801979037297
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,16,norm_ll_word,-3.574111187692173,0.02977516605769147
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,16,norm_ll_byte,-0.5657106356062865,0.004604446086345465
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,64,norm_ll_word,-3.11228494893237,0.03552274416428716
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,64,norm_ll_byte,-0.4936703804696816,0.005463486732236677
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,256,norm_ll_word,-2.889216338908456,0.05514484060589799
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,256,norm_ll_byte,-0.4573153379448507,0.008124165224177284
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,0,norm_ll_word,-4.082921276638877,0.0248302046902637
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,0,norm_ll_byte,-0.6430718704714145,0.0037628626647717134
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,1,norm_ll_word,-3.850185290031541,0.02555394763468491
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,1,norm_ll_byte,-0.6070199385199032,0.0037244188043568664
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,4,norm_ll_word,-3.6621315359007065,0.02524844820434898
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,4,norm_ll_byte,-0.5788953303076158,0.00382594339485986
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,16,norm_ll_word,-2.9872443337576797,0.03661500537404777
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,16,norm_ll_byte,-0.4724272367192322,0.0057157966057746175
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,64,norm_ll_word,-0.5763672393553398,0.03466370721110491
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,64,norm_ll_byte,-0.09153589939939319,0.005612474427868072
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,256,norm_ll_word,-0.16072794039825852,0.0035218843998817313
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,256,norm_ll_byte,-0.025425203492557818,0.0005066625962370442
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,0,norm_ll_word,-4.139616225103477,0.02425433502269438
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,0,norm_ll_byte,-0.6521776472924102,0.0037039710619464913
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,1,norm_ll_word,-3.988157904215856,0.025366275923974342
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,1,norm_ll_byte,-0.6290515705749078,0.0037256922409844235
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,4,norm_ll_word,-3.872811443318898,0.025110842432554913
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,4,norm_ll_byte,-0.6122516192039451,0.0037872258130437386
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,16,norm_ll_word,-3.5080730082185836,0.03715558537813996
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,16,norm_ll_byte,-0.5549310164762605,0.00576104604394287
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,64,norm_ll_word,-1.59537982434753,0.07665420849869226
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,64,norm_ll_byte,-0.2524853466299282,0.01208232925939823
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,256,norm_ll_word,-0.20947806506289504,0.004398897248440827
wikipedia,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,256,norm_ll_byte,-0.03324816411823372,0.0007211572116963676
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,0,norm_ll_word,-4.147685927948637,0.02326522138855746
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,0,norm_ll_byte,-0.6533077914867532,0.003505481543500075
wikipedia,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,1,norm_ll_word,-4.084253665470924,0.02352665570083055
